NOTA;GRUPO
8;GV / PF PJ /WEB/NOVATO
10;GV / PF PJ /WEB/MADURO
3;GV / PF PJ /WEB/MADURO
0;GV / PF PJ /WEB/CHURN
8;GV / PF /WEB/MADURO
10;GV / PF PJ /WEB/MADURO
5;GV / PF PJ /WEB/NOVATO
6;GV / PF PJ /WEB/MADURO
9;GV / PF /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/CHURN
8;GV / PF PJ /WEB/MADURO
6;GV / PF PJ /WEB/CHURN
10;GV / PF PJ /WEB/CHURN
8;GV / PF PJ /WEB/NOVATO
10;GV / PF PJ /WEB/MADURO
10;GV / PF /WEB/MADURO
7;GV / PF PJ /WEB/CHURN
9;GV / PF PJ /WEB/MADURO
6;GV / PF PJ /WEB/CHURN
0;GV / PF PJ /WEB/NOVATO
9;GV / PF PJ /WEB/CHURN
2;GV / PF PJ /WEB/MADURO
6;GV / PF PJ /WEB/CHURN
2;GV / PF PJ /WEB/CHURN
7;GV / PF /WEB/MADURO
10;GV / PF /WEB/MADURO
8;GV / PF PJ /WEB/NOVATO
0;GV / PF PJ /WEB/MADURO
6;GV / PF PJ /WEB/MADURO
5;GV / PF /WEB/MADURO
10;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/CHURN
5;GV / PF /WEB/MADURO
10;GV / PF PJ /WEB/MADURO
10;GV / PF /WEB/MADURO
9;GV / PF PJ /WEB/CHURN
6;GV / PF PJ /WEB/CHURN
10;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/NOVATO
8;GV / PF PJ /WEB/MADURO
10;GV / PF /WEB/MADURO
9;GV / PF PJ /WEB/CHURN
10;GV / PF PJ /WEB/CHURN
10;GV / PF PJ /WEB/MADURO
0;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/CHURN
10;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/MADURO
4;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/CHURN
0;GV / PF PJ /WEB/CHURN
